y,Voxel Count,Gray Levels,Energy,Entropy,Maximum Intensity,Mean Intensity,Median Intensity,Range,Mean Deviation,Root Mean Square,Standard Deviation,Skewness,Kurtosis,Variance,Uniformity,Volume mm^3,Volume cc,Surface Area mm^2,Surface:Volume Ratio,Compactness 1,Compactness 2,Maximum 3D Diameter,Spherical Disproportion,Sphericity,Autocorrelation,Cluster Prominence,Cluster Shade,Cluster Tendency,Contrast,Correlation,Difference Entropy,Dissimilarity,Energy (GLCM),Entropy(GLCM),Homogeneity 1,Homogeneity 2,IMC1,IDMN,IDN,Inverse Variance,Maximum Probability,Sum Average,Sum Entropy,Sum Variance,Variance (GLCM),SRE,LRE,GLN,RLN,RP,LGLRE,HGLRE,SRLGLE,SRHGLE,LRLGLE,LRHGLE,Extruded Surface Area,Extruded Volume,Extruded Surface:Volume Ratio,Box-Counting Dimension,Correlation Dimension
0,10604,209,65471495,69620.88932,188,73.55780837,74,236,21.60431768,78.57480512,27.63105251,-0.108816386,0.650312685,763.4750626,1201822,6553.070068,6.553070068,3753.918457,0.57284882,15.30664414,0.091809473,42.31173836,2.65E-05,0.451123895,118408090,5.21E+12,30187417412,186704546.9,7777854.154,12923.96089,67643.77022,210258.3077,20659.53846,-118835.1181,935.3927313,411.4964642,-1.861156569,9275.692308,9275.692308,423.1866559,8.615384615,2070719.385,-52552.61932,1.98E+12,121857131.6,0.905015521,5.069439603,103.5126225,7926.713768,0.930846125,0.000283637,13007.12778,0.000233413,11871.99598,0.004709446,61719.08425,754853.9063,483649.8184,1.560744732,2.160378642,-72.79927875
0,701,152,5638729,1781.748359,184,82.50356633,82,216,28.27033319,89.68277427,35.17097512,-0.228600914,0.129729985,1236.997491,4763,433.2046509,0.433204651,560.6323242,1.294151213,3.594728416,0.120449276,21.22370271,0.000906552,0.493857209,3981426,6.23E+11,3013273491,15399559.04,664218.6923,571387.8194,1560.868827,14349.46154,537.8461538,-2286.583181,45.83569698,19.26161844,-1.995137185,518.3076923,518.3076923,20.1278951,2.153846154,88346.07692,-846.0733184,153645668.8,4311537.075,0.878228899,3.724894158,6.402395361,494.0398727,0.941292659,0.001930405,7709.156489,0.001484912,7103.166469,0.01995476,21485.90037,73864.48975,35993.06488,2.05218672,1.765032234,-25.00683113
0,9982,266,124593132,60728.87283,249,105.5640152,106,297,28.28128624,111.718396,36.57894331,-0.031771359,0.756197214,1338.019094,819578,6032.357296,6.032357296,3192.855812,0.529288246,15.69612985,0.126441188,35.6836518,2.66E-05,0.501914246,173465919.8,2.60E+13,1.02E+11,420453078.9,12652132.15,69855.61327,60567.2949,260502.6154,15009.92308,-105204.2963,748.1495945,313.1833033,-1.909018703,8848.076923,8848.076923,320.9543873,6.538461538,2442383.538,-46054.12911,1.56E+12,179486334.6,0.917918359,4.234167298,76.31181293,7775.040081,0.94361389,0.000245858,20263.67392,0.00023683,18633.93889,0.000575883,78715.8676,908759.3701,637973.4537,1.424446997,2.128201236,-71.74286367
0,22540,191,103928975,175438.3055,185,63.16029281,63,234,19.64385979,67.89698079,24.93282711,-0.024520586,0.331678496,621.6458679,5885984,14240.56933,14.24056933,6354.048796,0.446193452,23.41991885,0.08940369,52.29887752,9.51E-06,0.447148537,192378850,3.12E+11,-2364478599,44825235.99,12733959.31,-15487.52478,173576.5694,397089.7692,85140.30769,-308257.4908,2245.397075,1018.495781,-1.774333332,20165.53846,20165.53846,1066.696994,15.07692308,3879335.923,-138506.1252,1.64E+13,196604866.2,0.917833781,8.304414333,230.9585054,16898.29633,0.905142994,0.000287486,9691.112649,0.000246575,8986.442951,0.013552191,68728.95044,1339135.487,901555.0289,1.485361896,2.332541296,-79.31875008
0,24725,236,135090523,188610.1763,223,67.28327604,68,273,23.79266167,73.91210997,30.60527122,-0.083443152,0.602262468,936.6826263,5894693,18302.00063,18.30200063,7436.443358,0.406318605,27.10275546,0.092119948,55.12068379,6.74E-06,0.451631849,324841971.8,1.31E+12,9906351999,104807405.5,23219914.92,-15158.45403,189819.4492,562893.3846,78321,-339522.9684,2133.760343,917.9787324,-1.806430194,22544.84615,22544.84615,954.3541654,13.30769231,5341363.077,-152914.7677,2.64E+13,334292530.7,0.928045799,5.069814482,213.3540915,19240.46842,0.916916855,0.00020547,14709.91442,0.00019222,13796.42759,0.000875268,63655.32449,1884922.344,1242330.92,1.517246584,2.34808285,-81.72425344
0,14110,267,79856698,93471.97468,249,66.37080085,66,299,27.47087044,75.22632518,35.41890046,0.257281611,0.876205264,1254.49851,1673862,9972.830233,9.972830233,5769.990658,0.57857103,17.49014526,0.058554988,49.96557977,1.76E-05,0.388318396,178513155.8,1.18E+13,56074554864,296230019.5,13919932,9513.567568,92598.70897,321700.1538,25696.84615,-159576.0184,1138.718181,489.4732788,-1.875536277,12351.92308,12351.92308,506.4083175,8.076923077,2903057.846,-69981.24769,2.84E+12,184969886.1,0.908066192,5.898965121,109.7270615,10705.21255,0.937774628,0.000293694,15112.20991,0.000280383,13691.94539,0.000911047,92053.39044,1185952.457,670082.3087,1.769860869,2.205777111,-71.99993556
0,23951,270,253940196,175010.8444,235,96.0787441,97,285,29.04953053,102.9660138,37.03192108,-0.21205543,0.406418303,1371.363179,4514291,10904.63706,10.90463706,5724.343228,0.524945782,19.22586264,0.071696475,54.92682047,1.46E-05,0.415431352,470321716.8,1.66E+13,84399605867,467928424.6,27377142.23,1980.567309,175072.9907,597939.3077,56196,-306380.3974,1848.337317,770.7119371,-1.845103748,21366.15385,21366.15385,806.2323151,9.923076923,6241458.077,-136352.7879,2.18E+13,482180349.5,0.924227431,9.640156106,172.754042,18832.00799,0.932557818,0.000310303,22128.63959,0.00026638,20763.96683,0.005484787,178221.0565,1560418.323,1051555.582,1.48391426,2.342719752,-81.05112087
0,3910,200,16408057,19118.13556,181,55.67544757,57,231,26.17156599,64.77653896,33.11613735,-0.205783363,0.246707538,1096.678553,136520,2552.407488,2.552407488,2416.846524,0.946888981,7.996053514,0.052192149,36.00032656,0.000112577,0.373710292,35192655.46,4.98E+12,22432777458,106919040.1,2838744.231,130884.7141,17548.77507,69149.15385,4118.538462,-28235.26882,326.6519751,146.7810987,-1.938123914,3073.461538,3073.461538,150.5990526,4.461538462,641241.4615,-11731.30181,41245305936,36562491.53,0.835612971,8.884129263,32.9452539,2521.271354,0.945760378,0.000739066,11674.4193,0.000622115,9940.983433,0.008769689,83292.59367,289681.405,146768.6529,1.973728036,2.319327048,-35.99520646
0,12569,219,166196909,82072.58071,245,110.0540218,110,294,26.85791726,114.9869558,33.32979678,-0.111408199,-0.09928641,1110.875354,1333339,8072.407742,8.072407742,3812.275224,0.472259993,18.6625932,0.133016591,40.91992111,1.78E-05,0.510468097,159409984.8,7.03E+12,38650318262,227950468.9,13650918.62,13941.91124,82286.43774,310720.9231,21678.23077,-144186.212,972.1682667,403.3303344,-1.885920857,11269.76923,11269.76923,419.5373705,7.538461538,2636198.154,-63723.12373,2.40E+12,165616189.2,0.928769126,3.884321174,98.43270683,10021.41218,0.939105369,0.000245593,14348.02212,0.000216252,13488.1475,0.002726654,47810.2818,1109700.358,888593.6118,1.248827747,2.186837439,-74.44502741
0,33670,259,252260006,268101.8731,227,80.03118503,81,277,25.84670191,86.55634003,32.97179238,-0.150811515,0.484400531,1087.139093,10025684,17483.99872,17.48399872,9013.525755,0.515529994,22.77557553,0.047211717,61.52759494,8.95E-06,0.361423675,535777882.7,1.38E+12,9005228174,121529232.7,37482629.38,-19810.38048,259540.3345,829938.7692,111561.3846,-468304.8271,2605.377696,1092.344282,-1.800261324,29885.53846,29885.53846,1131.923567,14.23076923,7914415.846,-212429.5613,6.73E+13,550993868.5,0.918031702,10.00270488,269.0700238,25854.19445,0.924002193,0.000265467,18281.98909,0.000234001,16971.06745,0.004756466,156772.9816,2326668.431,1406563.031,1.654151559,2.436791122,-86.02897818
